turn,player_move,bot_move
1,"(0, 0)","(5, 9)"
2,"(0, 1)","(9, 7)"
3,"(0, 2)","(2, 5)"
4,"(0, 3)","(5, 5)"
5,"(2, 2)","(5, 4)"
6,"(4, 2)","(3, 7)"
7,"(6, 2)","(6, 7)"
8,"(8, 2)","(9, 8)"
9,"(5, 2)","(4, 9)"
10,"(5, 2)","(2, 4)"
11,"(4, 3)","(0, 3)"
12,"(9, 1)","(7, 6)"
13,"(9, 4)","(5, 8)"
14,"(9, 5)","(2, 1)"
15,"(9, 3)","(0, 8)"
16,"(8, 4)","(1, 8)"
17,"(9, 6)","(3, 3)"
18,"(2, 0)","(9, 5)"
19,"(3, 1)","(7, 5)"
20,"(4, 1)","(4, 0)"
21,"(4, 0)","(2, 2)"
22,"(0, 9)","(3, 4)"
23,"(1, 8)","(2, 8)"
24,"(2, 7)","(0, 7)"
